token,mean_shap,count
headaches,0.9992876499891281,1
sweating ,0.9985072854906321,1
burning ,0.9982810541987419,1
colitis. ,0.9978413572534919,1
burn ,0.9577769692987204,1
worrying ,0.8490144843235612,1
noticed ,0.7485396768897772,1
acne ,0.5458562728997908,3
anxiety ,0.533991003409028,1
cysts ,0.506438499627014,1
eczema ,0.5017502508126199,2
redness ,0.49832104784078324,1
crying ,0.4969727974385023,1
fibromyalgia. ,0.4907303595294555,1
pain,0.4861100627795646,1
"acne, ",0.4851994952186942,1
fear ,0.43972168541090056,1
pain ,0.3759744937221209,5
yawning ,0.2517289621755481,1
mood ,0.25062826042994857,2
"swings, ",0.25058946944773197,1
pseudotumor ,0.24838298000395298,1
visual ,0.2473216052684519,1
impairment. ,0.2473216052684519,1
bloating ,0.24574015941470861,1
"nausea, ",0.24536171679695448,1
"anxiety, ",0.24528216322263083,1
abdominal ,0.24204810243099928,1
topicals ,0.21207542202490218,1
antibiotics ,0.1452648937702179,1
discomfort ,0.13363231252878904,1
headache. ,0.1251851348206401,1
"chills, ",0.12224258948117495,1
hated ,0.12216820567846298,1
paralysis ,0.11904776096343994,1
"headaches, ",0.0748297929763794,1
nausea ,0.07111411485821009,1
crazy ,0.03350456617772579,1
fantastic ,0.027264182832019,1
allergy ,0.027051069951128392,1
benzoyl ,0.026559563486703804,1
sensitivity ,0.025689420783344435,1
vagina ,0.02531426027417183,1
night,0.02325611561536789,1
that ,0.02311711541896623,5
"ago, ",0.020380454137921333,1
"old, ",0.02001586463302374,1
spotting. ,0.019565261900424957,1
absolutely ,0.01920380722731352,1
about ,0.01902368925511837,2
doxycycline ,0.01773266314583666,1
pill ,0.015964644961059093,1
finally ,0.014018659479916096,1
well ,0.013063071295619011,2
except ,0.012597673572599888,1
increase ,0.012036236003041267,1
"pill, ",0.011944068595767021,1
fact ,0.010754072107374668,1
21 ,0.010439910925924778,1
almost ,0.010234505090381554,3
nothing ,0.01017859298735857,1
because ,0.009544939600995608,1
peroxide ,0.00933091604106483,1
6 ,0.009302044725593398,1
years ,0.00887257605791092,1
"week, ",0.008807945996522903,1
flexeril ,0.008744671334704709,3
m ,0.008332973346114159,1
yesterdays ,0.007734210230410099,1
"weekends, ",0.007606446743011475,1
wellness. ,0.007393721491098404,1
wake ,0.006824512034654617,1
facial ,0.006478968569461037,1
like ,0.00634309860240472,2
no ,0.00619835202771246,7
treated ,0.006162097677588463,1
severe ,0.0061129150583463555,2
ve ,0.006097823691864808,3
19 ,0.005946509540081024,1
wrong ,0.005884665064513683,1
hassle! ,0.005653833970427513,1
joint ,0.005559898912906647,1
fine ,0.004754025489091873,3
a ,0.004737261564485611,18
morning ,0.004697997123003006,1
during ,0.004648749716579914,2
meds ,0.004626633288959662,1
days. ,0.004568218563993772,2
on ,0.004566532847888223,11
months. ,0.004541163332760334,1
sleep ,0.0044369497706019684,2
clear. ,0.004414704628288746,1
couple ,0.004275043423359211,2
sleepiness ,0.004173836981256803,1
feeling ,0.004123846767470241,2
up ,0.004102321341633797,1
get ,0.004039927001392085,1
reacted). ,0.004037369973957539,1
increased ,0.003973427228629589,1
t ,0.003694868764825284,2
it ,0.00364018450509609,16
or ,0.0036169053927536995,2
etc) ,0.0035963691771030426,1
fibro ,0.0034128368521730104,1
with ,0.0033870891430506514,8
helped ,0.0033743412544329963,1
six ,0.003321068361401558,1
am ,0.00319358845063973,4
years- ,0.0031854696571826935,1
nuvaring ,0.0031340066343545914,1
three ,0.0029415625871883496,3
cervix! ,0.0029201708047797807,1
today ,0.0028528189286589622,1
compare ,0.0027948617935180664,1
"months, ",0.0027279192581772804,1
for ,0.0026746314550296236,16
first ,0.002589915879070759,5
boyfriend,0.002535131759941578,1
nature,0.0024566285742016938,1
false ,0.002392265945672989,1
made ,0.002338214038695344,2
would ,0.0022994290645185268,3
nexplanon ,0.002198748290538788,3
"house, ",0.002179892733693123,1
oh ,0.0020986925810575485,1
throid ,0.0020558990967961457,1
still ,0.0020521188465257487,1
"all, ",0.0020467817251171383,1
1/,0.0019359486177563667,1
lupus ,0.001876115355463255,1
experiencing ,0.0017965137958526611,1
months ,0.0017957515703201708,8
effects: ,0.0017904856552680333,1
supply. ,0.0017173809777477603,1
legs ,0.001557867532890094,1
and ,0.0014972592550499702,33
but ,0.0014796262116720225,8
had ,0.0014492051151944112,9
in ,0.001408207642544776,12
i ,0.0014011074539072817,55
extreme ,0.0014002503206332524,1
diagnosed ,0.0014001051377918988,3
"so, ",0.0013838419690728188,1
far ,0.0013824883848428727,1
so ,0.0013824883848428727,1
now ,0.001369169395830896,3
"like, ",0.0013485560193657875,1
swings. ,0.0013339640572667122,1
when ,0.001325635937973857,4
started ,0.001295013024526484,7
getting ,0.0012824474717994336,4
my ,0.0012709682394344446,24
say ,0.001262542966102797,1
this ,0.001253022210098299,7
now. ,0.00125224687732183,1
stopped ,0.0012469508108638582,3
over ,0.0012049321085214615,1
staying ,0.0012049321085214615,1
taking ,0.0012004134767545909,6
dose ,0.0011770969002761625,2
"trips, ",0.0011556372046470642,1
prednisone ,0.0011441027745604515,1
felt ,0.0011286907911039236,3
every ,0.0010910145938396454,1
of ,0.001039952875164371,11
upping ,0.0009525258094072342,1
should ,0.0009509095109053074,1
skin ,0.0009473752662805574,4
yourselves ,0.000925213098526001,1
the ,0.0009110754180158969,33
down! ,0.0008857939392328262,1
vagina. ,0.0008674934506416321,1
lava ,0.0008632154449036247,1
only ,0.000851223710924387,2
"kids, ",0.0008437279611825943,1
cymbalta ,0.0008431014915307363,1
off ,0.0008194511208464118,1
little ,0.0008090888150036335,2
skin. ,0.000805756077170372,1
s ,0.0008039845257169671,6
diamox ,0.0007842928171157837,1
2 ,0.0007656091410252784,3
is ,0.0007537406631362387,5
using ,0.0007379059679806232,2
was ,0.0007288421417809854,26
apart ,0.0007132557465841895,1
100x ,0.0006969301030039787,1
inserted ,0.0006876308470964432,1
since ,0.0006875597440448158,3
november ,0.0006792042404413223,1
better. ,0.0006672153249382973,1
truly ,0.0006482517346739769,1
1mg. ,0.0006442227784325095,1
later ,0.0006441318740447363,1
taken ,0.00063375843798413,1
gosh. ,0.0006295554339885712,1
shortages ,0.0006244702694507745,1
have ,0.000622226827083126,8
spread ,0.0006200024171879417,1
at ,0.0006124865529792649,5
does ,0.0006118901073932648,1
not ,0.0005787888496567768,5
westhroid ,0.0005778763443231583,1
impossible. ,0.0005661309970652356,1
medication ,0.0005613300535413954,1
"jaw, ",0.0005534663796424866,1
product. ,0.0005528368055820465,1
"legs, ",0.0005519544705748558,1
zombie,0.000524123664945364,1
"however, ",0.0005145504390104458,2
year ,0.0005129976198077202,2
me ,0.0005118792981955891,4
zanax ,0.0005013429943253012,1
poured ,0.0004688664094397896,1
body ,0.0004554949700832367,1
thought ,0.0004496541805565357,2
got ,0.00044658780097961426,2
again ,0.0004419944736929167,1
clenching ,0.00043883873149752617,1
how ,0.00043047964572906494,1
into ,0.00042395597617877155,2
change ,0.00042048096656799316,1
one ,0.00039852577332853413,3
stop ,0.0003968091267678473,1
weight ,0.0003841221332550049,1
august ,0.00038396380841732025,1
been ,0.00038222382879919475,9
all ,0.0003666440024971962,3
gain. ,0.0003457162529230118,1
due ,0.00034312542199524117,3
doctor ,0.0003386008936692687,1
came ,0.0003271273484355525,1
back ,0.0003271273484355525,1
horrible ,0.0003152894787490368,2
combination ,0.00031038373708724976,1
missed ,0.0003086104989051819,1
trouble ,0.00030643461893002194,1
amitiza ,0.0003050975501537323,1
put ,0.00029895640909671783,1
fever ,0.0002970509674577486,1
never ,0.0002893323666955295,2
tried ,0.00028473190549347136,1
implanted ,0.00028201378881931305,1
hopeless. ,0.00027715321630239487,1
after ,0.00027223055561383563,8
within ,0.00026988503164969955,1
recently ,0.0002697933954081384,2
two ,0.0002645063949258704,4
to ,0.0002623335273086839,12
significant ,0.000261871932217708,1
terms ,0.00025188084691762924,1
wish ,0.0002385745511243218,1
last ,0.00023749005049467087,1
days - ,0.00023295357823371887,1
returned ,0.00023237615823745728,1
bc ,0.00023079290986061096,1
prescribed ,0.0002258196473121643,1
2004 ,0.0002250364050269127,1
happened ,0.00022373365407640284,1
handle ,0.00022063621630271277,1
afraid ,0.0002199821174144745,1
especially ,0.00021863356232643127,1
took ,0.00021758349612355232,2
which ,0.0002046366258725232,1
weight. ,0.0001983616501092911,1
able ,0.00019194073244637136,1
prescribe,0.00019194073244637136,1
gradually ,0.00019068285249746765,1
worked ,0.0001776889413960424,2
bleeding ,0.00017290376126766205,1
june ,0.00017206091433763504,1
such ,0.0001719985157251358,1
lost ,0.0001702813431620598,1
2015 ,0.00016621313989162445,2
worse ,0.0001642312854528427,1
roll ,0.00016369856894016266,1
gotten ,0.00015248823910951614,1
results ,0.0001425024551840929,1
has ,0.00014013700525869022,6
somebody ,0.00013885509810949626,1
effect ,0.0001255902461707592,2
actually ,0.00012422557920217515,1
ago ,0.00011855357637008031,1
before ,0.0001183999702334404,2
5 ,0.000117918931036478,4
"day, ",0.00010776147246360779,1
weeks. ,0.00010333783351458036,1
hospitalized ,9.19736921787262e-05,1
spotting ,9.096087887883186e-05,1
return ,8.830200466844771e-05,1
enough ,8.70908767759026e-05,1
feelings ,8.682161569595337e-05,1
twice ,8.617870901760303e-05,1
saw ,8.410480446540393e-05,1
matter ,8.178659175571643e-05,1
what ,8.178659175571643e-05,1
on. ,8.076988160610199e-05,1
time ,8.068187162280083e-05,2
"med, ",7.9350546002388e-05,1
itching ,7.855892181396484e-05,1
pms ,7.624365389347076e-05,1
cerebri. ,7.073301821947098e-05,1
if ,6.593950092792511e-05,1
being ,6.564384435906129e-05,1
weeks ,6.422027945518494e-05,1
capsules ,6.246939301490784e-05,1
med ,6.22207298874855e-05,1
withdrawal ,5.754145483175914e-05,1
just ,5.540717393159866e-05,1
side ,5.38191654615932e-05,3
save ,5.352497100830078e-05,1
making ,5.255080759525299e-05,1
by ,5.148493108295259e-05,2
period ,5.068909376859665e-05,2
terribly ,4.9014467942087275e-05,1
nauseous ,4.9014467942087275e-05,1
hsv2 ,4.342477768659592e-05,1
heavy ,4.277322441339493e-05,1
accompanied ,4.177380885396685e-05,1
life. ,4.119798541069031e-05,1
weird ,4.038587212562561e-05,1
worse. ,3.977585583925247e-05,1
from ,3.947410732507706e-05,1
january ,3.752135671675205e-05,2
right ,3.655068576335907e-05,1
then ,3.6444165743887424e-05,4
terrible. ,3.5060569643974304e-05,1
dupixient ,3.469735383987427e-05,1
better ,3.3791642636060715e-05,2
early ,3.3161137253046036e-05,1
"released, ",3.171619027853012e-05,1
whole ,3.086775541305542e-05,1
went ,3.076205030083656e-05,2
few ,3.0664333070699984e-05,2
med. ,3.0209931234518688e-05,1
day ,3.012889407542877e-05,3
starting ,2.8786249458789825e-05,1
done ,2.8452835977077484e-05,1
med,2.7824193239212036e-05,1
repeated ,2.753268927335739e-05,1
abstinence ,2.691522240638733e-05,1
as ,2.661440521478653e-05,2
week ,2.632010728120804e-05,1
days ,2.593950678904851e-05,3
movements ,2.548036475976308e-05,1
lose ,2.5278888642787933e-05,1
very ,2.5278888642787933e-05,1
"up"" ",2.2782012820243835e-05,1
bowel ,2.273482580979665e-05,1
away ,2.1556392312049866e-05,1
part ,2.0254403352737427e-05,1
per ,1.95968896150589e-05,1
igg ,1.9543804228305817e-05,2
4 ,1.780032180249691e-05,2
"days, ",1.6623841864722116e-05,1
negative. ,1.55596062541008e-05,1
any ,1.546329567356715e-05,1
hospital ,1.523829996585846e-05,1
240mcg. ,1.3088807463645935e-05,1
time. ,1.1747702956199646e-05,1
did. ,1.1481638801725286e-05,1
"after, ",1.1481638801725286e-05,1
positive ,9.560957551002502e-06,1
than ,9.25455242395401e-06,1
concerned. ,8.045695722103119e-06,1
3 ,6.6231004893779755e-06,2
studies ,4.752539098262787e-06,1
read ,4.752539098262787e-06,1
started,4.3977051973342896e-06,1
purpose ,4.0745362639427185e-06,1
doing ,3.842636942863464e-06,1
constant ,3.754161298274994e-06,1
having ,3.6349520087242126e-06,1
20% ,3.3701459566752114e-06,1
test ,2.965486298004786e-06,2
"later, ",2.916281421979268e-06,1
still,2.916281421979268e-06,1
times ,2.5300042969839912e-06,1
test. ,1.9622966647148132e-06,1
following ,1.8756836652755737e-06,1
patients ,1.4940897623697919e-06,1
saw,1.4940897623697917e-06,1
trial ,1.4940897623697917e-06,1
returning ,1.2084841728210448e-06,1
itchiness ,1.2084841728210448e-06,1
thing ,1.1920928955078125e-06,1
month ,9.80475710497962e-07,3
also,6.574250402904692e-07,1
day. ,6.189303738730294e-07,1
postpregnancy ,0.0,1
first,0.0,1
bleed ,0.0,1
light ,0.0,1
changed ,0.0,1
straight,0.0,1
okay ,0.0,1
pregnant ,0.0,1
effective ,0.0,1
old ,0.0,1
half ,0.0,1
valtrex ,0.0,1
experience ,0.0,1
7 ,0.0,1
checkup ,0.0,1
